"filename", "language", "JSON", "Markdown", "JSON with Comments", "JavaScript", "Batch", "TypeScript", "YAML", "TypeScript JSX", "XML", "CSS", "comment", "blank", "total"
"d:\全部项目\dalieba\README.md", "Markdown", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 88
"d:\全部项目\dalieba\app\allScenicSpotCard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 529, 0, 0, 32, 44, 605
"d:\全部项目\dalieba\app\allScenicSpot\[scenicSpotId]\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 8, 3, 23
"d:\全部项目\dalieba\app\allScenicSpot\[scenicSpotId]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 829, 0, 0, 24, 45, 898
"d:\全部项目\dalieba\app\api\getTravel\route.ts", "TypeScript", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 8, 3, 21
"d:\全部项目\dalieba\app\api\getTripData\[id]\route.ts", "TypeScript", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 12, 5, 30
"d:\全部项目\dalieba\app\api\getTripData\route.ts", "TypeScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 9, 3, 18
"d:\全部项目\dalieba\app\api\getTripLocation\route.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 2, 4, 14
"d:\全部项目\dalieba\app\calcTraffic\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 8, 3, 23
"d:\全部项目\dalieba\app\calcTraffic\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 112, 0, 0, 11, 6, 129
"d:\全部项目\dalieba\app\community\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 139, 0, 0, 17, 6, 162
"d:\全部项目\dalieba\app\community\waterFall.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 110, 0, 0, 2, 16, 128
"d:\全部项目\dalieba\app\createplan\[planid]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 360, 0, 0, 28, 47, 435
"d:\全部项目\dalieba\app\createplan\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 4, 20
"d:\全部项目\dalieba\app\createplan\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 731, 0, 0, 36, 46, 813
"d:\全部项目\dalieba\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 165, 4, 20, 189
